,0,0
3778,Y0.5Cd0.5Ba2Cu3O7,93.2
4478,Y1Ba2Cu3H1O7,93.2
2216,Gd0.97Pr0.03Ba2Cu3O7,93.1
3020,Nd1Ba2Cu3O6.84,93
3207,La1Ba2Cu3O6.85,93
4319,Y1Ba1.8K0.2Cu3O6.57,93
4798,Er1Ba2Cu3O6.85,93
5247,Tl1Sr2Ca0.2Y0.8Cu2O6.97,93
5317,Bi1.2Pb0.8Sr2Ca1Cu2O8,93
3396,Gd1Ba2Cu3O6.89,92.9
5443,Y1Ba1.7K0.3Cu3O6.54,92.85
1451,Yb1Ba2Cu3O6.9,92.8
2359,Y0.7Cd0.3Ba2Cu3O7,92.8
5392,Y0.8Cd0.2Ba2Cu3O7,92.8
985,Dy1Ba2Cu3O6.82,92.7
2020,Y1Ba1.9K0.1Cu3O6.61,92.7
85,Y0.6Eu0.4Ba2Cu3O7,92.6
293,Bi2Sr2Ca0.8Y0.2Cu2O8.27,92.6
3935,Bi2Sr2Ca1Cu1.988Ni0.012O8,92.55
4228,Tm1Ba2Cu3O6.65,92.5
1218,Y0.95Cs0.05Ba2Cu3O6.61,92.45
4381,Gd1Ba2Cu3O6.99,92.45
748,Y1Ba2Cu3O6.906,92.4
3220,Er1Ba2Cu3O6.82,92.4
5413,Y0.9Rb0.1Ba2Cu3O6.42,92.4
168,Y0.9La0.1Ba2Cu3O6.62,92.35
2714,Dy1Ba2Cu3O6.9,92.3
2892,Y1.2Ba1.8Cu3O6.68,92.3
4903,Y1Ba2Cu2.94Zr0.06O6.81,92.3
3549,Y1Ba2Cu3O6.962,92.15
2704,Y0.9K0.1Ba2Cu3O6.51,92.05
5349,Y0.95Rb0.05Ba2Cu3O6.59,92.05
545,Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,92
721,Tl1Sr2Ca0.3Y0.7Cu2O6.97,92
1102,Y1Ba2Cu2.925Co0.075O6.97,92
1258,Eu1Ba2Cu3O6.5,92
1479,Y1Ba1Sr1Cu3O6.9,92
1595,Bi2Sr2Ca0.8Y0.2Cu2O8.26,92
1812,Gd1Ba2Cu3O6.758,92
2162,Nd1.1Ba1.9Cu3O6.9,92
3006,Tl1Sr2Ca0.5Y0.5Cu2O6.89,92
3175,Tl1Sr2Ca0.4Y0.6Cu2O6.93,92
3460,Y1Re0.05Ba2Cu2.95O7.02,92
3496,Y1Ba2Cu2.97Co0.03O6.96,92
3691,Gd1Ba2Cu3O6.9,92
4323,Y1Re0.05Ba2Cu2.95O7.04,92
5657,Y1Ba2Cu2.9Al0.1O6.93,92
5702,Er1Ba2Cu3O6.91,92
279,Y0.85Rb0.15Ba2Cu3O6.48,91.95
640,Y1Ba2Cu3O6.955,91.8
1213,Y1Ba2Cu2.95Fe0.05O6.92,91.8
2214,Tl1Ba2Ca0.9Gd0.1Cu2O7,91.8
3273,Y1Ba1.96Sr0.04Cu3O6.98,91.8
3634,Y1Ba2Cu3O6.939,91.8
349,Y1Ba2Cu3O6.93,91.7375
1553,Y0.4Cd0.6Ba2Cu3O7,91.7
2112,Y0.95Sc0.05Ba2Cu3O6.63,91.7
2618,Nd1Ba2Cu3O6.81,91.7
4895,Y0.6Cd0.4Ba2Cu3O7,91.7
153,Y0.95Pr0.05Ba2Cu3O6.97,91.5
401,Nd1Ba2Cu3O6.93,91.5
543,Y0.975Ca0.025Ba2Cu3O6.95,91.5
1529,Y0.95Pr0.05Ba2Cu3O6.95,91.5
1550,Y1Ba2Cu2.96Co0.04O7,91.5
1947,Y1Re0.1Ba2Cu2.9O7,91.5
2363,Y1Ba1.9K0.1Cu3O6.9,91.5
3838,Y1Re0.15Ba2Cu2.85O7.07,91.5
4382,Er1Ba2Cu3O6.94,91.5
1162,Y0.9Sc0.1Ba2Cu3O6.56,91.4
1549,Dy0.95Pr0.05Ba2Cu3O6.9,91.4
2477,Y0.2Yb0.8Ba2Cu3O6.91,91.4
3859,Y1Ba2Cu2.955Fe0.045O6.93,91.4
1472,Y0.9Cs0.1Ba2Cu3O6.47,91.3
5010,Y1.1Ba1.9Cu3O6.65,91.25
2548,Y1Ba2Cu2.95Co0.05O6.88,91.2
4185,Y1Ba2Cu3O6.951,91.19
457,Bi2Sr1.8Ca1Lu0.2Cu2O8.27,91.1
2309,Sm1Ba2Cu3O6.878,91.1
3114,Y1Ba2Cu3O6.821,91.1
3200,Nd1Ba1.8Sr0.2Cu3O6.96,91.1
5140,Y0.4Yb0.6Ba2Cu3O6.93,91.1
5548,Er0.924Pr0.076Ba2Cu3O7,91.1
2912,Y1Ba1.7Rb0.3Cu3O6.52,91.05
2,Y1Ba2Cu2.94Fe0.06O7.254,91
130,Bi1.4Pb0.6Sr2Ca1Cu2O8,91
534,Y1Re0.15Ba2Cu2.85O7.17,91
680,Er1Ba2Cu3O6.93,91
844,Nd1Ba2Cu3O6.98,91
894,Gd1Ba2Cu3O6.969,91
1147,Y0.9La0.1Ba2Cu3O6.97,91
1311,Y1Re0.1Ba2Cu2.9O7.09,91
1496,Y1Ba2Cu3O6.957,91
2023,Sm1Ba2Cu3O6.86,91
2767,Tl2Ba2Ca1Cu2O7.984,91
3022,Eu1Ba2Cu3O6.9,91
3256,Y0.99La0.01Ba2Cu3O7.07,91
4417,Y0.68Tb0.32Ba2Cu3O7,91
4458,Hg0.8Mn0.2Ba2Cu1O4.2,91
4653,Y1Ba2Cu2.95Al0.05O6.93,91
4732,Y0.9Tb0.1Ba2Cu3O7,91
2532,Er1Ba2Cu3O6.953,90.9
4652,Y1Ba2Cu2.97Ga0.03O7,90.88
482,Tl1Ba2Ca0.9Nd0.1Cu2O7,90.8
4138,Gd1Ba2Cu3O6.94,90.8
781,Y1Ba2Cu2.98Fe0.02O7,90.7
1217,Sm1Ba2Cu3O6.941,90.7
1234,Sm1Ba2Cu3O6.99,90.7
1710,Y1.04Ba1.96Cu3O6.8,90.6
1374,Y1Ba2Cu3O6.97,90.575
3061,Y1Ba1.8Rb0.2Cu3O6.56,90.55
1668,Hg0.9Re0.1Ba2Cu1O4.35,90.5
2689,Nd1Ba2Cu3O6.09,90.5
3804,Y1Ba2Cu2.985Ni0.015O6.92,90.5
5100,Y1Ba1.8Sr0.2Cu3O6.8,90.5
5582,Y1Ba2Cu4O6.998,90.5
364,Y0.85Cs0.15Ba2Cu3O6.5,90.4
998,Y1Ba2Cu2.98Fe0.02O6.93,90.4
2226,Tm1Ba2Cu3O6.91,90.36
3720,Y1Ba2Cu2.98Zr0.02O6.84,90.2
3337,Y0.85K0.15Ba2Cu3O6.48,90.15
1441,Y1Ba2Cu2.7In0.3O6.9,90
1799,Y1Ba2Cu2.9955Zn0.0045O6.95,90
2401,Dy1Ba2Cu3O6.79,90
2499,Sm1Ba2Cu3O6.858,90
2583,Eu1Ba2Cu3O7.01,90
2702,Gd1Ba2Cu3O6.95,90
2843,Dy1Ba2Cu3O6.84,90
2873,Y1Re0.1Ba2Cu2.9O7.08,90
3258,Ca1La1Ba1Cu2.8P0.2O7,90
3401,Y1Re0.15Ba2Cu2.85O7.13,90
3675,Y1Ba2Cu3O6.869,90
3941,Er1Ba2Cu2.95Ga0.05O6.75,90
4194,Sm1Ba2Cu3O6.89,90
4432,Nd1Ba2Cu3O6.94,90
4835,Dy1Ba2Cu3O6.68,90
4943,Er1Ba2Cu3O6.92,90
5110,Y1Ba2Cu2.9Sn0.1O7.28,90
5122,Sm1Ba2Cu3O6.92,90
5487,Y1Ba2Cu2.85Ag0.15O7,90
4746,Y0.9Cd0.1Ba2Cu3O7,89.9
4820,Y0.985Ca0.015Ba2Cu3O6.98,89.9
372,Tm1Ba2Cu3O6.96,89.88
5183,Tm1Ba2Cu3O6.94,89.88
3747,Tm1Ba2Cu3O6.99,89.8
4658,Y1Ba2Cu3O6.887,89.8
1435,Sm1.05Ba1.95Cu3O6.87,89.75
653,Lu0.85Pr0.15Ba2Cu3O7,89.7
2915,Y1Ba1.75Sr0.25Cu3O6.928,89.6
2298,Y1Ba2Cu3O6.98,89.5125
2696,Y0.95Pr0.05Ba2Cu3O6.96,89.5
3499,Y0.984Ca0.016Ba2Cu3O6.986,89.5
3570,Yb1Ba2Cu3O6.93,89.5
3744,Tm1Ba2Cu3O6.95,89.465
2676,Y0.95K0.05Ba2Cu3O6.6,89.4
2936,Bi2Sr2Ca0.75Y0.25Cu2O8,89.4
1327,Y1Ba2Cu3O6.852,89.2
4344,Y1Ba2Cu2.982Zn0.018O6.9,89.2
5709,Bi2Sr1.8Ca1Dy0.2Cu2O8.26,89.2
181,Yb0.95Pr0.05Ba2Cu3O6.9,89.1
4426,Y1Ba2Cu3O6.88,89.025
226,Hg0.9W0.1Ba2Cu1O4.2,89
1540,Y1Ba1.9Sr0.1Cu3O6.89,89
2191,Y1Ba1.8Sr0.2Cu3O6.98,89
2610,Bi2Sr2Ca0.9Y0.1Cu2O8.2,89
2633,Yb0.925Pr0.075Ba2Cu3O6.97,89
3624,Nd1Ba2Cu3O6.95,89
3714,Y1Ba1.5Sr0.5Cu3O6.96,89
5629,Y1Ba2Cu3O6.995,89
100,Y1Ba1.9Sc0.1Cu3O6.55,88.95
1183,Y0.85Ca0.15Ba2Cu4O8,88.9
1371,Bi2Sr1.8Ca1Gd0.2Cu2O8.26,88.9
5535,Bi2Sr1.8Ca1Eu0.2Cu2O8.25,88.9
2947,Y1Ba1.8Sc0.2Cu3O6.64,88.8
2816,Y0.7Ca0.3Ba2Cu3O6.87,88.7
3316,Y1Ba2Cu2.95Fe0.05O6.9,88.7
1047,Y1Ba2Cu3O6.82,88.65
4745,Y0.9Ca0.1Ba2Cu3O6.9,88.6
155,Sm1.05Ba1.95Cu3O6.99,88.5
1518,Y0.88Ca0.12Ba2Cu4O8,88.5
1788,Y1Ba2Cu3O6.965,88.5
2056,Y1Ba2Cu2.97Ni0.03O6.94,88.5
4784,Y1Ba1.6Sr0.4Cu3O6.8,88.5
5498,Yb0.9Pr0.1Ba2Cu3O6.97,88.5
1899,Yb1Ba2Cu3O6.95,88.4
5121,Y0.95Ca0.05Ba2Cu3O6.94,88.2
1817,Sm1Ba2Cu3O6.927,88.1
2123,Y0.9Pr0.1Ba2Cu3O6.97,88.1
202,Y1Ba2Cu2.95Ga0.05O6.69,88
1009,Yb1Ba2Cu3O6.97,88
2122,Sr1.68Ba0.32Cu1O3.4,88
2331,Y1Re0.05Ba2Cu2.95O6.94,88
3319,Er1Ba2Cu3O6.935,88
3364,Y1Ba2Cu2.95Al0.05O7,88
3372,Yb0.9Pr0.1Ba2Cu3O6.92,88
3672,Er1Ba2Cu2.97Fe0.03O6.94,88
4002,Y0.95Pr0.05Ba2Cu3O6.965,88
4750,Y1Ba2Cu2.9925Zn0.0075O6.92,88
5045,Dy1Ba2Cu2.98Fe0.02O6.88,88
5250,Y0.95Ca0.05Ba2Cu3O6.79,88
5462,Y1Ba2Cu3O6.828,88
1531,Y1Ba2Cu2.94Ga0.06O7,87.99
4326,Tm0.9Pr0.1Ba2Cu3O6.95,87.9
212,Y0.8Ca0.2Ba2Cu4O8,87.8
1215,Sm1Ba2Cu3O6.773,87.8
2992,Bi2Sr2Ca0.8Y0.2Cu2O8.2,87.8
1159,Y1Ba2Cu2.82Fe0.18O6.895,87.7
3788,Bi2Sr1.8Ca1Nd0.2Cu2O8.26,87.7
708,Nd1.1Ba1.9Cu3O6.96,87.6
1453,Y1Ba1.5Sr0.5Cu3O6.938,87.6
890,Y1Ba2Cu2.94Fe0.06O6.89,87.5
1587,Y1Ba2Cu2.8Cr0.2O7,87.5
1952,Y1Ba2Cu2.98Ni0.02O6.95,87.5
2168,Bi2Sr2Ca0.9Y0.1Cu2O8.23,87.5
896,Y1Ba2Cu3O6.858,87.4
2268,Y0.9Ca0.1Ba2Cu4O8,87.35714286
4924,Hg0.9Re0.1Ba2Cu1O4.33,87.2
5164,Tm1Ba2Cu3O6.86,87.2
103,Yb1Ba2Cu3O6.71,87
436,Ho0.9Ca0.1Ba2Cu4O8,87
508,Y0.9Ca0.1Ba1.8La0.2Cu3O6.97,87
735,Tl1Sr2Ca0.7Y0.3Cu2O6.84,87
760,Bi1.6Pb0.4Sr1.8Ca1Nd0.2Cu2O8.11,87
1089,Yb0.9Ca0.1Ba1.8Sr0.2Cu4O8,87
1413,Ho0.8Ca0.2Ba2Cu4O8,87
2126,Y1Ba2Cu2.9Fe0.1O7.293,87
3344,Bi1.6Pb0.4Sr2Ca0.8Nd0.2Cu2O8.16,87
3830,Tl1Sr2Ca0.6Y0.4Cu2O6.86,87
3848,Tl1Sr2Ca0.1Y0.9Cu2O6.97,87
4352,Ho0.85Ca0.15Ba2Cu4O8,87
4358,Ho0.7Ca0.3Ba2Cu4O8,87
4429,Y0.98Ca0.02Ba2Cu4O8,87
4711,Y0.8Sc0.2Ba2Cu4O8,87
49,Y1Ba2Cu3O6.791,86.9
5710,Gd0.95Hf0.05Ba2Cu3O6.91,86.9
2287,Lu0.8Pr0.2Ba2Cu3O7,86.8
4158,Gd1Ba1.95Pr0.05Cu3O7.03,86.8
1041,Y0.97Ca0.03Ba2Cu3O6.97,86.7
1985,Yb0.85Pr0.15Ba2Cu3O6.97,86.5
3221,Y1Ba2Cu2.99Zn0.01O7,86.5
120,Y1Ba1.5Sr0.5Cu3O6.91,86.3
361,Y1Ba1.5Sr0.5Cu3O6.9,86.3
827,Dy1Ba1.5Sr0.5Cu3O6.9,86.3
835,Y0.925Ca0.075Ba2Cu3O6.93,86.3
2827,Y1Ba2Cu2.94Ni0.06O6.9,86.3
1421,Y0.93Ca0.07Ba2Cu4O8,86.25
2052,Y1Ba2Cu2.92Fe0.08O7,86.2
5222,Y1Ba2Cu2.955Ni0.045O6.95,86.2
852,Tl1Ba2Ca0.9Y0.1Cu2O7,86.1
233,Y1Ba2Cu2.985Zn0.015O6.95,86
396,Y1Ba2Cu2.98Ni0.02O6.94,86
627,Y1Ba1.5Sr0.5Cu3O6.98,86
751,Y0.9Ca0.1Ba1.9La0.1Cu3O6.95,86
754,Bi2Sr2Ca0.7Y0.3Cu2O8.3,86
953,Gd1Ba1Sr1Cu3O6.94,86
964,Er1Ba2Cu2.9Ga0.1O6.78,86
1142,Y0.8Ca0.2Ba2Cu2.85Co0.15O6.84,86
1734,Y0.76Ca0.24Ba2Cu2.85Co0.15O6.8,86
1972,Y1Ba1.4Sr0.6Cu3O6.8,86
2011,Dy1Ba2Cu3O6.879,86
2025,Y1Ba2Cu4O7.96,86
2047,Y1Ba2Cu2.94Al0.06O6,86
2410,Y1Ba1.2Sr0.8Cu3O6.8,86
2857,Nd1Ba1.6Sr0.4Cu3O6.94,86
3359,Y0.5La0.5Ba2Cu3O7.01,86
3898,Er0.95Hf0.05Ba2Cu3O6.938,86
4406,Er0.95Ca0.05Ba2Cu3O6.935,86
4946,Yb0.9Ca0.1Ba1.6Sr0.4Cu4O8,86
5109,Bi2Sr2Ca0.8Y0.2Cu2O8.34,86
5369,Y1Ba1Sr1Cu2.9Mo0.1O7.16,86
705,Y1Ba1.5Sr0.5Cu3O6.95,85.9
881,Y0.9Pr0.1Ba2Cu3O6.98,85.9
511,Y0.95Pr0.05Ba2Cu3O6.85,85.5
1430,Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5
4050,Y1Ba1.25Sr0.75Cu3O6.928,85.5
5028,Gd1Ba1.5Sr0.5Cu3O6.93,85.5
2464,Y1Ba1.9Ca0.1Cu4O8,85.4
3897,Y0.9Ca0.1Ba2Cu3O6.87,85.4
5426,Dy1Ba1.4Sr0.6Cu3O6.91,85.2
119,Y0.95Ca0.05Ba2Cu4O8,85.16
1763,Nd0.97Pr0.03Ba2Cu3O7,85.1
2539,Yb1Ba2Cu2.982Zn0.018O6.9,85.1
57,Bi1Pb1Sr2Y0.5Ca0.5Cu2O8,85
81,Y1Ba2Cu2.94Fe0.06O6.929,85
88,Y0.4La0.6Ba2Cu3O6.99,85
209,Y1Ba2Cu2.84Fe0.16O7.303,85
251,Y1Ba2Cu2.8Al0.2O6.91,85
305,Tl1Sr2Ca0.8Y0.2Cu2O6.82,85
571,Y0.9Pr0.1Ba2Cu3O6.965,85
809,Y0.6La0.4Ba2Cu3O6.92,85
1056,Y1Ba2Cu2.94Ni0.06O6.97,85
1316,Y1Ba2Cu2.9Al0.1O7.1,85
1468,Y1Ba2Cu2.95Ni0.05O6.94,85
1918,Y1Ba1Sr1Cu2.95Mo0.05O7.07,85
2129,Yb0.9Ca0.1Ba1.4Sr0.6Cu4O8,85
2597,Lu0.9Pr0.1Ba2Cu3O2,85
3249,Gd1.05Ba1.95Cu3O6.94,85
3390,Er1Ba2Cu3O6.67,85
3996,Y1Ba2Cu2.94Fe0.06O6.85,85
5075,Y1Ba1.9Ca0.1Cu3O6.84,85
5232,Y1Ba2Cu2.98Zn0.02O7,85
5352,Y1Ba2Cu2.94Ni0.06O7.01,85
17,Y1Ba2Cu3O6.838,84.8
177,Y1Ba2Cu3O6.937,84.8
2772,Tm0.95Ca0.05Ba2Cu4O8,84.8
2043,Dy1Ba1.2Sr0.8Cu3O6.9,84.7
3821,Hg1.4Tl0.6Ba2Y0.6Ca0.4Cu2O7.78,84.6
5494,Y1Ba1.3Sr0.7Cu3O6.98,84.5
5515,Nd0.9Ca0.1Ba2Cu3O6.63,84.5
41,Gd0.9Hf0.1Ba2Cu3O6.88,84.2
738,Dy1Ba1.8Sr0.2Cu3O6.89,84.2
3137,Y0.8Ca0.2Ba2Cu3O6.78,84.2
453,Y0.8Ca0.2Ba2Cu3O6.8,84.1
4796,Y0.9Pr0.1Ba2Cu3O7,84.1
5227,Y0.9Ca0.1Ba2Cu3O6.8,84.1
570,Yb0.9Ca0.1Ba1.2Sr0.8Cu4O8,84
843,Y0.8Ca0.2Ba1.8La0.2Cu3O6.94,84
947,Bi2Sr1.3Ca0.7Cu1O6.15,84
2116,Hg1.4Tl0.6Ba2Y0.5Ca0.5Cu2O7.74,84
2961,Y0.9Ca0.1Ba2Cu2.85Co0.15O6.91,84
3903,Eu1Ba1Sr1Cu3O6.95,84
4036,Y1Ba2Cu2.993Zn0.007O7,84
4926,Gd0.922Pr0.078Ba2Cu3O7,84
5295,Y0.8La0.2Ba2Cu3O6.9,84
606,Y0.925Ca0.075Ba2Cu4O8,83.8
3650,Y1Ba2Cu2.91Ga0.09O7,83.71
3962,Sm1Ba2Cu3O6.813,83.6
4402,Tm1Ba2Cu3O6.87,83.6
3574,Y1Ba2Cu2.94Ni0.06O6.94,83.5
4405,Y1Ba1Sr1Cu3O6.96,83.5
4971,Y0.94Ca0.06Ba2Cu3O6.97,83.4
1828,Y1Ba1.926Ca0.074Cu4O8,83.3
2508,Y0.9Ca0.1Ba2Cu3O6.93,83.3
2999,Y1Ba1Sr1Cu3O6.947,83.3
5035,Tm0.93Ca0.07Ba2Cu4O8,83.3
601,Er0.95Ca0.05Ba2Cu4O8,83.2
1136,Dy1Ba1Sr1Cu3O6.93,83
1936,Y0.7La0.3Ba2Cu3O6.92,83
2692,Gd1Ba1Sr1Cu3O6.93,83
2921,Er1Ba2Cu2.91Fe0.09O6.96,83
3493,Dy1Ba2Cu2.98Ni0.02O6.72,83
3502,Bi1Pb1Sr2Y0.6Ca0.4Cu2O8,83
3577,Dy1Ba2Cu2.95Ga0.05O6.69,83
3676,Y0.85Ca0.15Ba2Cu3O6.65,83
4115,Y0.95Ca0.05Ba2Cu2.85Co0.15O6.82,83
4662,Y0.6Ca0.4Ba1.4La0.6Cu3O7.07,83
4850,Y0.899Ca0.101Ba2Cu3O6.943,83
5062,Hg1Ba2Cu0.97Zn0.03O4.081,83
5072,Y0.9Pr0.1Ba2Cu3O6.96,83
5246,Eu0.9Pr0.1Ba2Cu3O6.78,83
5518,Y1Ba2Cu2.9775Zn0.0225O6.93,83
3936,Y0.75Ca0.25Ba2Cu4O8,82.9
4095,Er0.9Hf0.1Ba2Cu3O6.862,82.9
4754,Er0.85Pr0.15Ba2Cu3O7,82.9
201,Y1Ba1Sr1Cu3O6.98,82.8
701,Y1Ba2Cu2.975Zn0.025O6.93,82.8
4916,Y0.9Ca0.1Ba2Cu3O6.72,82.6
1019,Er0.9Ca0.1Ba2Cu3O6.93,82.5
4836,Nd1Ba2Cu3O7.04,82.5
5385,Y1Ba2Cu3O6.795,82.5
994,Y0.6Ca0.4Ba1.5La0.5Cu3O7.01,82.4
3934,Gd0.95Mo0.05Ba2Cu3O6.948,82.4
702,Y0.8Ca0.2Ba2Cu2.75Co0.25O7.01,82.2
50,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82
83,La1Ba1.87Ca0.13Cu3O6.923,82
102,Y0.9Ca0.1Ba2Cu3O6.67,82
122,Y0.7Ca0.3Ba1.7La0.3Cu3O6.92,82
551,Y0.4Ca0.6Ba1.2La0.8Cu3O7.07,82
817,Y0.9Ca0.1Ba1.9La0.1Cu3O6.96,82
1287,Y0.95Ca0.05Ba1.6Sr0.4Cu4O7.8,82
1457,Y0.6Ca0.4Ba1.3La0.7Cu3O7.12,82
1574,Y0.9Pr0.1Ba2Cu3O6.82,82
1601,Y0.76Ca0.24Ba2Cu2.94Co0.06O6.81,82
1633,Dy1Ba2Cu2.96Ni0.04O6.73,82
1666,Y0.3La0.7Ba2Cu3O6.98,82
1729,Y1Ba1.6Sr0.4Cu4O7.95,82
1938,Y0.9Ca0.1Ba1.7La0.3Cu3O7.04,82
1969,Y1Ba1.4Sr0.6Cu4O7.95,82
1982,Er1Ba2Cu2.85Ga0.15O6.69,82
2259,Y0.8Ca0.2Ba2Cu3O6.84,82
2552,Nd1Ba1.8Sr0.2Cu3O6.927,82
2568,Y1Ba2Cu2.6Fe0.4O7.401,82
2577,Ba1.6Sr0.4Yb1Cu3O6.96,82
3315,Yb0.8Pr0.2Ba2Cu3O6.97,82
3700,Y1Ba0.8Sr1.2Cu3O6.8,82
3780,Dy1Ba2Cu2.96Fe0.04O6.89,82
3836,Y0.4Ca0.6Ba1.1La0.9Cu3O7.12,82
4703,Gd1Ba1Sr1Cu3O7,82
4736,Hg1Ba2Cu0.97Zn0.03O4.073,82
4906,Y0.7Ca0.3Ba1.4La0.6Cu3O7.12,82
5258,Y1Ba2Cu4O7.95,82
5561,Y1Ba2Cu2.68Fe0.32O7.343,82
5610,Y1Ba2Cu2.89Al0.11O7,82
5634,Y1Ba1.8Sr0.2Cu4O7.95,82
1653,Y0.97Ca0.03Ba2Cu4O8,81.9
1131,Y0.85Pr0.15Ba2Cu3O6.97,81.8
1978,Y0.9Ca0.1Ba2Cu3O7,81.8
2088,Gd0.85Hf0.15Ba2Cu3O6.84,81.8
3785,Y0.9Ca0.1Ba2Cu3O6.98,81.8
2994,Y0.85Pr0.15Ba2Cu3O6.95,81.6
3332,Y0.9Ca0.1Ba2Cu3O6.96,81.5
4758,Dy1Ba1Sr1Cu3O6.94,81.5
3104,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.56,81.35
2512,Tl1Ba2Ca0.7Gd0.3Cu2O7,81.25
1380,Tm0.97Ca0.03Ba2Cu4O8,81.2
897,Y0.9Ca0.1Ba2Cu3O6.91,81.1
58,Y0.9Sc0.1Ba2Cu4O8,81
280,Yb0.95Pr0.05Ba1.7Sr0.3Cu3O6.91,81
608,Y1Ba1Sr1Cu3O6.91,81
676,Y1Ba2Cu2.902Pt0.098O6.4,81
863,Eu1Ba1Sr0.9Ca0.1Cu3O6.95,81
2931,Eu1.1Ba1.9Cu3O7.07,81
3075,Ba1.6Sr0.4Yb1Cu3O6.8,81
3128,Yb1Ba1.7Sr0.3Cu3O6.9,81
3129,Y1Ba1.36Sr0.64Cu4O8,81
3236,Ho0.95Ca0.05Ba2Cu4O8,81
3413,Gd1Ba2Cu3O6.8,81
3618,Yb1Ba1.8Sr0.2Cu4O8,81
3727,Y1Ba2Cu2.97Zn0.03O6.9,81
3890,Sm1Ba2Cu2.98Zn0.02O6.82,81
3965,Y1Ba2Cu2.9Ga0.1O6.8,81
4094,Er1Ba2Cu2.97Zn0.03O6.93,81
4210,Y0.2La0.8Ba2Cu3O7,81
4456,Y1Ba2Cu2.97Zn0.03O6.95,81
4463,Dy1Ba2Cu2.98Zn0.02O6.87,81
4483,Y0.9Pr0.1Ba2Cu3O6.91,81
4579,Pr1Ba2Cu3O6.8,81
4648,Y0.8Ca0.2Ba2Cu3O6.64,81
4692,Dy1Ba2Cu2.94Ni0.06O6.72,81
4870,Y1Ba2Cu2.97Zn0.03O6.93,81
